GRB090304216	2009-03-04	05:10:48.16	2.816	0.923	8.99E-07	1.02E-07	2.95E-03	2.06E-04	2.06E-04	1.46E+04	1.97E+04	1.97E+04	-1.36E+00	7.13E-02	7.13E-02	-3.71E+00	4.49E+02	4.49E+02	303.8151	-10.5491	3.00E-07	2.62E-08	1.83E-06	1.60E-07
GRB151026523	2015-10-26	12:32:38.94	63.232	7.952	4.32E-06	6.95E-08	7.00E-03	1.50E-03	1.50E-03	2.16E+02	3.62E+01	3.62E+01	-7.47E-01	1.64E-01	1.64E-01	-7.63E+00	1.20E+03	1.20E+03	284.5865	-24.6213	1.96E-07	1.99E-08	3.39E-06	3.45E-07
GRB160625230	2016-06-25	05:31:55.39	43.265	10.801	3.35E-06	3.58E-08	7.31E-03	1.57E-03	1.57E-03	1.79E+02	4.21E+01	4.21E+01	-7.86E-01	1.42E-01	1.42E-01	-1.73E+00	9.52E-02	9.52E-02	320.3093	-34.8373	2.61E-07	1.12E-08	5.33E-06	2.28E-07
GRB100604287	2010-06-04	06:53:34.82	13.44	0.871	5.51E-06	4.22E-08	1.19E-02	2.90E-03	2.90E-03	1.65E+02	3.58E+01	3.58E+01	-1.07E+00	1.74E-01	1.74E-01	-2.19E+00	3.93E-01	3.93E-01	317.3443	-16.8876	3.80E-07	2.08E-08	6.19E-06	3.38E-07
GRB140213807	2014-02-13	19:21:32.35	18.624	0.716	2.12E-05	6.54E-08	3.20E-02	2.25E-03	2.25E-03	8.61E+01	4.10E+00	4.10E+00	-1.13E+00	3.50E-02	3.50E-02	-2.25E+00	5.52E-02	5.52E-02	284.2485	-25.1981	6.33E-07	1.06E-08	2.39E-05	3.99E-07
GRB090922605	2009-09-22	14:30:41.53	52.736	1.81	4.51E-06	1.03E-07	8.40E-03	1.57E-03	1.57E-03	3.16E+02	7.80E+01	7.80E+01	-9.52E-01	1.91E-01	1.91E-01	-1.86E+00	1.65E-01	1.65E-01	293.2146	-42.0694	4.49E-07	2.42E-08	6.88E-06	3.71E-07
GRB090513941	2009-05-13	22:35:35.34	11.776	2.064	1.04E-06	3.01E-08	3.78E-03	1.09E-03	1.09E-03	9.95E+02	1.91E+03	1.91E+03	-1.36E+00	2.19E-01	2.19E-01	-1.19E+01	1.27E+06	1.27E+06	283.7172	-26.9353	3.05E-07	6.78E-08	9.31E-07	2.07E-07
GRB130425327	2013-04-25	07:51:16.24	62.209	1.145	4.17E-05	1.59E-07	2.11E-02	7.23E-04	7.23E-04	2.79E+02	1.34E+01	1.34E+01	-1.27E+00	2.90E-02	2.90E-02	-7.86E+00	4.91E+02	4.91E+02	300.9101	-44.2009	9.97E-07	1.63E-08	5.18E-05	8.47E-07
GRB160325291	2016-03-25	06:59:21.51	42.945	0.572	1.86E-05	1.98E-07	1.75E-02	9.07E-04	9.07E-04	2.40E+02	1.36E+01	1.36E+01	-7.47E-01	3.76E-02	3.76E-02	-2.32E+00	1.54E-01	1.54E-01	301.7696	-44.4063	6.25E-07	1.19E-08	1.98E-05	3.77E-07
GRB091102607	2009-11-02	14:34:38.36	6.656	3.435	1.88E-06	1.07E-07	4.92E-03	7.27E-04	7.27E-04	6.10E+02	2.51E+02	2.51E+02	-1.01E+00	1.33E-01	1.33E-01	-1.75E+00	3.31E-01	3.31E-01	284.5282	-34.7206	3.91E-07	4.14E-08	2.80E-06	2.96E-07
GRB100926595	2010-09-26	14:17:03.94	32.256	0.572	6.97E-06	1.59E-08	5.84E-02	2.48E-02	2.48E-02	5.20E+01	6.25E+00	6.25E+00	-3.98E-01	2.43E-01	2.43E-01	-2.02E+00	6.03E-02	6.03E-02	311.8042	-11.5702	2.61E-07	1.10E-08	9.85E-06	4.14E-07
